,ProdDate,Actual_kWh,Production1,Production2,Feed,Weekday,BRP,check_feed
253,2019-09-11,143135.0,13272.0,9563.300631,8366.853055793652,Wednesday,BL,False
255,2019-09-13,188967.0,13272.0,16734.92396,15538.476384793652,Friday,BL,False
256,2019-09-14,214251.0,13272.0,20647.95798,19451.51040479365,Saturday,BL,False
258,2019-09-16,189047.0,13272.0,16023.66981,14827.222234793651,Monday,BL,False
259,2019-09-17,143868.0,13272.0,10001.86948,8805.421904793651,Tuesday,BL,False
260,2019-09-18,219041.0,13272.0,21701.20495,20504.75737479365,Wednesday,BL,False
261,2019-09-19,153981.0,13272.0,11950.43317,10753.985594793652,Thursday,BL,False
262,2019-09-20,212621.0,13272.0,20446.85258,19250.40500479365,Friday,BL,False
263,2019-09-21,200905.0,13272.0,18497.1527,17300.70512479365,Saturday,BL,False
267,2019-09-25,196852.0,13272.0,14796.58597,13600.138394793652,Wednesday,BL,False
268,2019-09-26,177411.0,13272.0,13416.78942,12220.341844793653,Thursday,BL,False
269,2019-09-27,214771.0,13272.0,20490.74889,19294.30131479365,Friday,BL,False
270,2019-09-28,220563.0,13272.0,22305.07496,21108.627384793654,Saturday,BL,False
272,2019-09-30,196217.0,13737.705765,18010.53254,16814.084964793652,Monday,BL,False
