,DateOnly,Actual_kWh,Production1,Production2,Feed
199,2019-07-19,174855.0,11860.83663,13827.71984,11860.83663
200,2019-07-20,179880.0,11788.08476,14830.24984,11788.08476
201,2019-07-21,45973.0,829.5832039,,829.5832039
202,2019-07-22,181844.0,13227.261,14449.65975,13227.261
203,2019-07-23,182445.0,13560.00034,15745.75466,13560.00034
204,2019-07-24,198564.0,16147.099259999999,18600.18034,16147.099259999999
205,2019-07-25,125772.0,6956.849924,8035.324319,6956.849924
206,2019-07-26,190390.0,15071.54156,17237.94629,15071.54156
207,2019-07-27,195584.0,14244.80273,15784.71989,14244.80273
208,2019-07-28,51210.0,848.0251645999999,,848.0251645999999
209,2019-07-29,211412.0,17821.397745000002,17329.48604,17821.397745000002
210,2019-07-30,176733.0,9954.298926,9942.713698,9954.298926
211,2019-07-31,209530.0,8408.70683,16444.58045,8408.70683
212,2019-08-01,169825.0,15831.495760000002,11338.80756,15831.495760000002
213,2019-08-02,188622.0,14277.72453,14612.65276,14277.72453
214,2019-08-03,117916.0,6114.630937,6887.803713,6114.630937
215,2019-08-04,51330.0,31.71573929,,31.71573929
216,2019-08-05,214884.0,36.0,19365.0744,36.0
217,2019-08-06,207471.0,36.0,18037.20686,36.0
218,2019-08-07,221623.0,12747.573975,20920.02358,12747.573975
219,2019-08-08,161367.0,13420.048289999999,12531.24076,13420.048289999999
220,2019-08-09,207291.0,18959.481735,20965.84723,18959.481735
221,2019-08-10,202304.0,16837.803099999997,17590.17169,16837.803099999997
222,2019-08-11,48412.0,559.6303751,,559.6303751
223,2019-08-12,191267.0,16849.293205,15363.14232,16849.293205
224,2019-08-13,205662.0,16362.891575,16365.15279,16362.891575
225,2019-08-14,220305.0,19457.539405,19977.0747,19457.539405
226,2019-08-15,148458.0,10401.34824,10910.10186,10401.34824
227,2019-08-16,208113.0,19542.948210000002,18937.387,19542.948210000002
228,2019-08-17,213184.0,18319.74264,20207.21125,18319.74264
229,2019-08-18,52353.0,880.6051866,,880.6051866
230,2019-08-19,186532.0,15061.02992,14124.88547,15061.02992
231,2019-08-20,210476.0,18208.762235000002,18141.0738,18208.762235000002
232,2019-08-21,211288.0,18632.83275,18669.57322,18632.83275
233,2019-08-22,166817.0,13139.065815,13290.89504,13139.065815
234,2019-08-23,187625.0,15909.287615000001,16005.69172,15909.287615000001
235,2019-08-24,184785.0,12464.18133,14341.78408,12464.18133
236,2019-08-25,50363.0,31.692017931000002,,31.692017931000002
237,2019-08-26,211203.0,19066.421395,17523.98198,19066.421395
238,2019-08-27,215054.0,17087.08132,18343.71616,17087.08132
239,2019-08-28,178403.0,11759.96037,13613.81349,11759.96037
240,2019-08-29,122466.0,2115.847071,6552.400468,2115.847071
241,2019-08-30,206236.0,36.000600815,20833.15675,36.000600815
242,2019-08-31,176590.0,36.000600815,15357.86321,36.000600815
243,2019-09-01,49863.0,36.000600815,,36.000600815
244,2019-09-02,206510.0,7988.3401245000005,20877.46811,7988.3401245000005
245,2019-09-03,204264.0,13272.00073,17208.71467,13272.00073
246,2019-09-04,216139.0,13272.00073,21664.84691,13272.00073
247,2019-09-05,157701.0,13843.18298,12567.38366,13843.18298
248,2019-09-06,194949.0,16292.2907,18019.95343,16292.2907
249,2019-09-07,126872.0,3337.5372965,5270.779568,3337.5372965
250,2019-09-08,53503.0,4217.2450425,,4217.2450425
251,2019-09-09,216101.0,11531.993995,20493.43632,11531.993995
252,2019-09-10,210993.0,13272.0,19457.23218,18260.78460479365
253,2019-09-11,143135.0,13272.0,9563.300631,8366.853055793652
254,2019-09-12,65661.0,13272.0,0.0,0.0
255,2019-09-13,188967.0,13272.0,16734.92396,15538.476384793652
256,2019-09-14,214251.0,13272.0,20647.95798,19451.51040479365
257,2019-09-15,49064.0,13272.0,,13272.0
258,2019-09-16,189047.0,13272.0,16023.66981,14827.222234793651
259,2019-09-17,143868.0,13272.0,10001.86948,8805.421904793651
260,2019-09-18,219041.0,13272.0,21701.20495,20504.75737479365
261,2019-09-19,153981.0,13272.0,11950.43317,10753.985594793652
262,2019-09-20,212621.0,13272.0,20446.85258,19250.40500479365
263,2019-09-21,200905.0,13272.0,18497.1527,17300.70512479365
264,2019-09-22,52798.0,13272.0,,13272.0
265,2019-09-23,74605.0,13272.0,0.0,0.0
266,2019-09-24,58140.0,13272.0,0.0,0.0
267,2019-09-25,196852.0,13272.0,14796.58597,13600.138394793652
268,2019-09-26,177411.0,13272.0,13416.78942,12220.341844793651
269,2019-09-27,214771.0,13272.0,20490.74889,19294.30131479365
270,2019-09-28,220563.0,13272.0,22305.07496,21108.627384793654
271,2019-09-29,54239.0,13272.0,,13272.0
272,2019-09-30,196217.0,13737.705764999999,18010.53254,16814.084964793652
273,2019-10-01,145518.0,8782.824395,9619.415082,8782.824395
274,2019-10-02,182100.0,14680.26818,16395.29867,14680.26818
275,2019-10-03,131731.0,7738.7123065,8643.075946,7738.7123065
276,2019-10-04,139224.0,8137.6292405,8964.772942,8137.6292405
277,2019-10-05,172187.0,10898.523245,13555.14162,10898.523245
278,2019-10-06,56242.0,547.5070736499999,,547.5070736499999
279,2019-10-07,183849.0,13136.388595,13783.479,13136.388595
280,2019-10-08,151153.0,10374.668454999999,11283.01598,10374.668454999999
281,2019-10-09,166882.0,12925.838855,14173.78969,12925.838855
282,2019-10-10,150805.0,9337.864046499999,10522.64126,9337.864046499999
283,2019-10-11,202433.0,17886.656635,20154.42931,17886.656635
284,2019-10-12,165764.0,8475.2326685,10853.33678,8475.2326685
285,2019-10-13,43703.0,923.13565405,,923.13565405
286,2019-10-14,76945.0,86.250717315,1032.57987,86.250717315
287,2019-10-15,54559.0,713.63727715,0.0,713.63727715
288,2019-10-16,189721.0,15162.553305000001,16199.58092,15162.553305000001
289,2019-10-17,144751.0,10041.209295,10986.06491,10041.209295
290,2019-10-18,196931.0,15933.051265,17667.46407,15933.051265
291,2019-10-19,205470.0,14174.554909999999,17407.63188,14174.554909999999
292,2019-10-20,47287.0,963.5682978499999,,963.5682978499999
