,DateOnly,Actual-kWh,DOW1,DOW2,Flag
501,2020-05-16,100947,6,Saturday,0
502,2020-05-17,48177.5,7,Sunday,0
503,2020-05-18,103385,1,Monday,0
504,2020-05-19,104099.5,2,Tuesday,0
505,2020-05-20,109245,3,Wednesday,0
506,2020-05-21,76788,4,Thursday,0
507,2020-05-22,106307.5,5,Friday,0
508,2020-05-23,110760,6,Saturday,0
509,2020-05-24,45147.5,7,Sunday,0
510,2020-05-25,108757.5,1,Monday,0
511,2020-05-26,111108,2,Tuesday,0
512,2020-05-27,115891.5,3,Wednesday,0
513,2020-05-28,110620,4,Thursday,0
514,2020-05-29,95070,5,Friday,0
515,2020-05-30,70907.5,6,Saturday,0
516,2020-05-31,26647.5,7,Sunday,0
517,2020-06-01,96702,1,Monday,0
518,2020-06-02,109850,2,Tuesday,0
519,2020-06-03,107426.5,3,Wednesday,0
520,2020-06-04,103390.5,4,Thursday,0
521,2020-06-05,36567,5,Friday,0
522,2020-06-06,26683.5,6,Saturday,0
523,2020-06-07,10880,7,Sunday,25
524,2020-06-08,27883.5,1,Monday,0
525,2020-06-09,26433.5,2,Tuesday,0
526,2020-06-10,24608,3,Wednesday,0
527,2020-06-11,28578,4,Thursday,0
528,2020-06-12,29807,5,Friday,0
529,2020-06-13,29025.5,6,Saturday,0
530,2020-06-14,25721.5,7,Sunday,0
531,2020-06-15,84996,1,Monday,0
532,2020-06-16,101375,2,Tuesday,0
533,2020-06-17,111166.5,3,Wednesday,0
534,2020-06-18,111885,4,Thursday,0
535,2020-06-19,93924,5,Friday,0
536,2020-06-20,97754.5,6,Saturday,0
537,2020-06-21,49210,7,Sunday,0
538,2020-06-22,100793.5,1,Monday,0
539,2020-06-23,108700,2,Tuesday,0
540,2020-06-24,111048.5,3,Wednesday,0
541,2020-06-25,107496,4,Thursday,0
542,2020-06-26,93832.5,5,Friday,0
543,2020-06-27,108260.5,6,Saturday,0
544,2020-06-28,46438,7,Sunday,0
545,2020-06-29,94306,1,Monday,6
546,2020-06-30,106549,2,Tuesday,0
547,2020-07-01,81647,3,Wednesday,0
548,2020-07-02,111608,4,Thursday,0
549,2020-07-03,111144,5,Friday,0
550,2020-07-04,103567,6,Saturday,0
551,2020-07-05,42675,7,Sunday,0
552,2020-07-06,103360.5,1,Monday,0
553,2020-07-07,109172,2,Tuesday,0
554,2020-07-08,95878,3,Wednesday,0
555,2020-07-09,61388,4,Thursday,0
556,2020-07-10,105847.5,5,Friday,0
557,2020-07-11,94785,6,Saturday,0
558,2020-07-12,30549,7,Sunday,0
559,2020-07-13,108404,1,Monday,0
560,2020-07-14,100508,2,Tuesday,0
561,2020-07-15,98385.5,3,Wednesday,0
562,2020-07-16,54232.5,4,Thursday,0
563,2020-07-17,111056.5,5,Friday,0
564,2020-07-18,113018.5,6,Saturday,0
565,2020-07-19,48987.5,7,Sunday,0
566,2020-07-20,76978,1,Monday,0
567,2020-07-21,108875,2,Tuesday,0
568,2020-07-22,100670.5,3,Wednesday,0
569,2020-07-23,75745,4,Thursday,0
570,2020-07-24,113462.5,5,Friday,0
571,2020-07-25,112102,6,Saturday,0
572,2020-07-26,52351.5,7,Sunday,0
573,2020-07-27,115749.5,1,Monday,0
574,2020-07-28,112981,2,Tuesday,0
575,2020-07-29,108658,3,Wednesday,0
576,2020-07-30,80207,4,Thursday,0
577,2020-07-31,110459.5,5,Friday,0
578,2020-08-01,84730,6,Saturday,0
579,2020-08-02,30271,7,Sunday,0
580,2020-08-03,107456.5,1,Monday,0
581,2020-08-04,112182,2,Tuesday,0
582,2020-08-05,109092,3,Wednesday,0
583,2020-08-06,78634,4,Thursday,0
584,2020-08-07,113521.5,5,Friday,0
